id,col1,col2,col3,col4,col5,labels
42892,0,0,0,0,0,1
19276,0,0,0,1,0,0
38481,0,3,1,1,0,1
54342,0,0,0,1,0,1
36641,0,0,0,1,0,1
16629,0,0,0,1,2,0
28292,0,1,1,1,2,1
2716,0,0,0,1,0,0
24303,0,0,0,1,0,0
39112,0,0,0,1,0,1
39847,0,2,0,1,0,1
42588,1,0,0,1,0,1
52135,0,3,0,1,0,1
18474,0,0,0,0,0,0
5155,0,0,0,0,0,0
41892,0,0,0,1,0,1
15962,0,3,0,0,2,0
10600,0,0,1,1,0,0
40366,0,0,0,1,0,1
52607,0,0,0,1,2,1
848,0,0,0,1,0,0
50698,0,0,0,1,0,1
4196,0,0,0,1,0,0
2650,0,0,0,1,1,0
43555,0,0,0,1,0,1
30664,0,0,0,1,0,1
1294,0,0,0,1,0,0
5330,0,0,0,1,0,0
53801,0,0,0,1,2,1
27248,0,1,0,1,0,0
20077,0,0,0,1,1,0
44493,0,0,0,0,0,1
8803,0,0,0,0,0,0
42233,1,3,1,1,2,1
19221,0,0,0,1,0,0
31934,0,3,1,1,1,1
25003,0,0,0,0,0,0
18753,0,0,0,0,0,0
48399,0,0,0,1,0,1
39099,0,2,1,0,0,1
44095,0,0,0,1,0,1
41479,0,3,1,1,2,1
37300,0,3,0,1,0,1
11396,0,0,0,0,0,0
41579,1,0,1,0,0,1
15315,0,0,0,1,0,0
46806,0,2,1,1,2,1
35844,0,0,0,1,0,1
47877,0,2,0,1,0,1
4384,0,0,0,1,0,0
44723,0,0,1,1,0,1
9370,0,0,0,0,0,0
50561,0,0,1,1,0,1
8698,0,0,0,1,0,0
45011,0,0,0,1,0,1
16729,0,0,0,1,0,0
47231,0,3,1,1,0,1
43340,0,3,1,1,0,1
17659,0,0,0,0,0,0
17170,0,0,0,1,0,0
3534,0,1,0,1,0,0
34342,1,0,1,1,2,1
15755,0,0,0,0,0,0
44228,0,0,0,1,0,1
46779,1,0,0,1,0,1
1321,0,0,0,0,0,0
40928,1,1,1,1,0,1
33552,0,0,0,1,0,1
43959,0,0,0,1,0,1
12504,0,0,0,0,0,0
29481,0,0,0,1,0,1
29634,0,0,1,1,0,1
25517,0,0,0,1,0,0
26633,0,2,0,0,0,0
22534,0,0,0,1,0,0
41266,0,3,1,1,0,1
16002,0,0,0,0,0,0
44315,0,2,1,1,0,1
34066,0,1,1,0,0,1
45639,0,3,0,1,1,1
16760,0,3,1,0,2,0
38171,0,0,0,0,0,1
19936,0,0,0,0,2,0
31129,0,3,1,1,0,1
31396,0,3,1,1,0,1
5284,0,0,0,0,0,0
40871,0,0,1,1,2,1
34022,0,1,1,1,0,1
13182,0,3,1,1,2,0
21547,0,0,0,0,0,0
10737,0,0,0,1,0,0
